node_id,land_type,area_m2
125,water,312501.4191409695
95,park,5396.014807686048
26,residential,46583.59250795635
243,water,9703.447483065676
157,park,19926.629767648326
146,residential,12872.400044288783
41,park,1538.4090095933125
41,commercial,6566.607543123224
157,water,6959.161063362148
157,water,1632.8104991003866
157,water,2011.0860542008797
40,park,145.62590397763674
146,residential,9762.776828563654
243,park,2182.037004454304
243,park,1822.9020482702874
243,residential,1419.5103095101356
243,park,106933.59047113337
236,residential,40844.022986307646
30,commercial,15595.337953908296
60,commercial,293231.5983141103
143,park,441.1625014114645
236,park,1091.4636189939386
236,park,5915.18887730944
236,park,883.2034012437869
236,park,977.3835039891595
236,park,525.2044244439786
236,park,328.9084813389933
236,residential,15222.390191762932
57,industrial,105147.01035248526
31,park,1471.439198149509
230,commercial,4259.867913713015
18,industrial,30791.910605782272
18,park,3278.0182840270395
10,park,5585.306597380131
127,residential,6116.463185829032
15,park,1114.342868739976
8,residential,8252.07618246317
132,residential,13980.775043872001
147,water,9447.902429449046
147,park,26706.959538149265
117,water,34388.57070540862
117,water,284850.5953577302
18,park,3921.5914009009
18,park,4040.274189807915
178,water,288016.64933872037
128,park,11844.608313361212
128,residential,22506.983451909327
128,park,14113.476421646696
127,residential,20700.14799309799
127,residential,7115.453548448486
127,industrial,39191.71497524171
95,commercial,5854.456437080693
207,park,9116.622968967396
87,forest,16099.710956847177
2,commercial,1025.8299996768556
88,residential,14484.073682426813
114,industrial,104710.31410642789
114,commercial,5007.9841587391675
34,industrial,47279.63073102325
68,residential,2689.9913724544667
11,park,3643.175812496743
11,park,3715.4343850541372
11,park,4077.374591543724
61,residential,34049.42275044759
126,park,3676.493700078518
126,park,2547.705522831242
127,park,5198.001876769009
226,park,3210.122554579134
207,park,16674.34652361213
207,park,3663.180200981349
207,park,1429.2196699937176
207,park,2092.5024337177047
207,park,1275.381497397289
207,park,2762.894569194165
64,water,127169.32021414979
157,water,123599.71381615914
157,water,70180.24895769176
201,water,22385.56867660824
127,water,75836.51823133793
126,water,83342.72490974198
178,water,76419.89033252126
168,water,22346.225795127655
168,water,16627.758739029065
168,water,18001.59770922532
68,residential,56054.677835741415
113,residential,43577.20883500259
113,park,2615.8834065049887
226,residential,425513.26167973445
226,residential,91768.14363373008
226,water,161473.3292859521
205,water,448720.5127743558
113,residential,76583.61275754134
9,residential,79519.81740369255
103,residential,56218.142573281606
8,residential,2261.535750505024
9,residential,25903.206329090237
9,residential,3893.908258123742
9,residential,6855.940127836704
